family	group	letter
HML1	HERVK	K
HML2	HERVK	K
HML3	HERVK	K
HML4	HERVK	K
HML5	HERVK	K
HML6	HERVK	K
HERVK11	HERVK	K
HERVK11D	HERVK	K
HERVKC4	HERVK	K
HERVK14C	HERVK	K
HERVW	HERVW	W
HERV9	HERVW	W
HERV30	HERVW	W
HERVE	HERVE	E
HERVEA	HERVE	E
HERVFC1	HERVF	F
HERVFC2	HERVF	F
HERVFH19	HERVF	F
HERVFH21	HERVF	F
HERVFRD	HERVF	F
HERVH	HERVH	H
HERVH48	HERVH	H
HERVI	HERVI	I
HERVIP10F	HERVI	I
HERVIP10FH	HERVI	I
HERVL	HERVL	L
HERVL18	HERVL	L
HERVL32	HERVL	L
HERVL40	HERVL	L
HERVL66	HERVL	L
HERVL74	HERVL	L
ERVL	ERVL	L
ERVLB4	ERVL	L
ERVLE	ERVL	L
HERV3	ERV1	1
HERV4	ERV1	1
HERVP71A	HERVP	P
HERVS71	HERVS	S
PABLA	PAB	1
PABLB	PAB	1
MER4	MER4	4
MER4B	MER4	4
MER34B	MER4	4
MER41	MER4	4
MER61	MER4	4
MER101	MER4	4
PRIMA4	PRIMA	4
PRIMA41	PRIMA	4
PRIMAX	PRIMA	4
LTR19	MISC	1
LTR23	MISC	4
LTR25	MISC	4
LTR46	MISC	H
LTR57	MISC	L
ERV316A3	ERV3	3
HARLEQUIN	HARL	4
HUERSP1	HUERS	4
HUERSP2	HUERS	4
HUERSP3	HUERS	4
HUERSP3B	HUERS	4
