AvgSpotLen	BioProject	BioSample	Experiment	Instrument	LibraryLayout	Library_Name	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	biomaterial_provider	biorep	labexpid	labversion	localization_description	readtype	readtype_description	replicate	replicate_description	rnaextract	rnaextract_description	source_name	spikeinpool	Assay_Type	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibrarySelection	LibrarySource	Organism	Platform	datatype	datatype_description
152	PRJNA30709	SAMN00634070	SRX082565	Illumina Genome Analyzer II	PAIRED	GSM758559: CshlLong_RnaSeq_GM12878_cell_longPolyA	2014-05-30	4669	3337	2011-07-13	SRR307897	SRS214591	SRP007461	GSM758559	Coriell; http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&amp;q=GM12878	003WC,003WC,004WC,004WC	LID16629,LID16629,LID16630,LID16630	iIDR		2x76D	Paired 76 nt directed reads	1,2		longPolyA	Poly(A)+ RNA longer than 200 nt	GM12878	Nist14	RNA-Seq	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	RnaSeq	Sequencing analysis of RNA expression
152	PRJNA30709	SAMN00634070	SRX082565	Illumina Genome Analyzer II	PAIRED	GSM758559: CshlLong_RnaSeq_GM12878_cell_longPolyA	2014-05-30	6813	4518	2011-07-13	SRR307898	SRS214591	SRP007461	GSM758559	Coriell; http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&amp;q=GM12878	003WC,003WC,004WC,004WC	LID16629,LID16629,LID16630,LID16630	iIDR		2x76D	Paired 76 nt directed reads	1,2		longPolyA	Poly(A)+ RNA longer than 200 nt	GM12878	Nist14	RNA-Seq	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	RnaSeq	Sequencing analysis of RNA expression
152	PRJNA30709	SAMN00634071	SRX082566	Illumina Genome Analyzer II	PAIRED	GSM758560: CshlLong_RnaSeq_GM12878_cytosol_longPolyA	2014-05-30	6188	3948	2011-07-13	SRR307899	SRS214592	SRP007461	GSM758560	Coriell	004C,003C,004C,003C	LID8467,LID8468,LID8467,LID8468	iIDR		2x76D	Paired 76 nt directed reads	1,2		longPolyA	Poly(A)+ RNA longer than 200 nt	GM12878	Nist14	RNA-Seq	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	RnaSeq	Sequencing analysis of RNA expression
152	PRJNA30709	SAMN00634071	SRX082566	Illumina Genome Analyzer II	PAIRED	GSM758560: CshlLong_RnaSeq_GM12878_cytosol_longPolyA	2014-05-30	5302	3181	2011-07-13	SRR307900	SRS214592	SRP007461	GSM758560	Coriell	004C,003C,004C,003C	LID8467,LID8468,LID8467,LID8468	iIDR		2x76D	Paired 76 nt directed reads	1,2		longPolyA	Poly(A)+ RNA longer than 200 nt	GM12878	Nist14	RNA-Seq	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	RnaSeq	Sequencing analysis of RNA expression
152	PRJNA30709	SAMN00634072	SRX082567	Illumina Genome Analyzer II	PAIRED	GSM758561: CshlLong_RnaSeq_AG04450_cell_longPolyA	2014-05-30	5826	3780	2011-07-13	SRR307901	SRS214593	SRP007461	GSM758561	Coriell; http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&amp;q=AG04450	018WC,017WC,018WC,017WC	LID8965,LID8966,LID8966,LID8965	iIDR	Whole cell	2x76D	Paired 76 nt directed reads	1,2		longPolyA	Poly(A)+ RNA longer than 200 nt	AG04450	Nist14	RNA-Seq	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	RnaSeq	Sequencing analysis of RNA expression
152	PRJNA30709	SAMN00634072	SRX082567	Illumina Genome Analyzer II	PAIRED	GSM758561: CshlLong_RnaSeq_AG04450_cell_longPolyA	2014-05-30	5747	3681	2011-07-13	SRR307902	SRS214593	SRP007461	GSM758561	Coriell; http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&amp;q=AG04450	018WC,017WC,018WC,017WC	LID8965,LID8966,LID8966,LID8965	iIDR	Whole cell	2x76D	Paired 76 nt directed reads	1,2		longPolyA	Poly(A)+ RNA longer than 200 nt	AG04450	Nist14	RNA-Seq	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	RnaSeq	Sequencing analysis of RNA expression
152	PRJNA30709	SAMN00634073	SRX082568	Illumina Genome Analyzer II	PAIRED	GSM758562: CshlLong_RnaSeq_BJ_cell_longPolyA	2014-05-30	5219	3165	2011-07-13	SRR307903	SRS214594	SRP007461	GSM758562	ATCC	037WC,038WC,037WC,038WC	LID8970,LID8969,LID8970,LID8969	iIDR		2x76D	Paired 76 nt directed reads	1,2		longPolyA	Poly(A)+ RNA longer than 200 nt	BJ	Nist14	RNA-Seq	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	RnaSeq	Sequencing analysis of RNA expression
152	PRJNA30709	SAMN00634073	SRX082568	Illumina Genome Analyzer II	PAIRED	GSM758562: CshlLong_RnaSeq_BJ_cell_longPolyA	2014-05-30	5285	3306	2011-07-13	SRR307904	SRS214594	SRP007461	GSM758562	ATCC	037WC,038WC,037WC,038WC	LID8970,LID8969,LID8970,LID8969	iIDR		2x76D	Paired 76 nt directed reads	1,2		longPolyA	Poly(A)+ RNA longer than 200 nt	BJ	Nist14	RNA-Seq	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	RnaSeq	Sequencing analysis of RNA expression
152	PRJNA30709	SAMN00634074	SRX082569	Illumina Genome Analyzer II	PAIRED	GSM758563: CshlLong_RnaSeq_HUVEC_cell_longPolyA	2014-05-30	4145	2391	2011-07-13	SRR307905	SRS214595	SRP007461	GSM758563	Lonza	009WC,010WC,009WC,010WC	LID8463,LID8464,LID8464,LID8463	iIDR	Whole cell	2x76D	Paired 76 nt directed reads	1,2		longPolyA	Poly(A)+ RNA longer than 200 nt	HUVEC	Nist14	RNA-Seq	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	RnaSeq	Sequencing analysis of RNA expression
152	PRJNA30709	SAMN00634074	SRX082569	Illumina Genome Analyzer II	PAIRED	GSM758563: CshlLong_RnaSeq_HUVEC_cell_longPolyA	2014-05-30	5199	3236	2011-07-13	SRR307906	SRS214595	SRP007461	GSM758563	Lonza	009WC,010WC,009WC,010WC	LID8463,LID8464,LID8464,LID8463	iIDR	Whole cell	2x76D	Paired 76 nt directed reads	1,2		longPolyA	Poly(A)+ RNA longer than 200 nt	HUVEC	Nist14	RNA-Seq	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	RnaSeq	Sequencing analysis of RNA expression
152	PRJNA30709	SAMN00634075	SRX082570	Illumina Genome Analyzer II	PAIRED	GSM758564: CshlLong_RnaSeq_A549_cell_longPolyA	2014-05-30	4464	3165	2011-07-13	SRR307907	SRS214596	SRP007461	GSM758564	ATCC	021WC,021WC,022WC,022WC	LID8963,LID8964,LID8964,LID8963	iIDR	Whole cell	2x76D	Paired 76 nt directed reads	1,2		longPolyA	Poly(A)+ RNA longer than 200 nt	A549	Nist14	RNA-Seq	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	RnaSeq	Sequencing analysis of RNA expression
152	PRJNA30709	SAMN00634075	SRX082570	Illumina Genome Analyzer II	PAIRED	GSM758564: CshlLong_RnaSeq_A549_cell_longPolyA	2014-05-30	5748	3650	2011-07-13	SRR307908	SRS214596	SRP007461	GSM758564	ATCC	021WC,021WC,022WC,022WC	LID8963,LID8964,LID8964,LID8963	iIDR	Whole cell	2x76D	Paired 76 nt directed reads	1,2		longPolyA	Poly(A)+ RNA longer than 200 nt	A549	Nist14	RNA-Seq	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	RnaSeq	Sequencing analysis of RNA expression
152	PRJNA30709	SAMN00634076	SRX082571	Illumina Genome Analyzer II	PAIRED	GSM758565: CshlLong_RnaSeq_HUVEC_nucleus_longPolyA	2014-05-30	5628	3576	2011-07-13	SRR307909	SRS214597	SRP007461	GSM758565	Lonza	029N,030N,030N,029N	LID8690,LID8691,LID8691,LID8690	iIDR	Large membrane bound part of cell containing chromosomes and the bulk of the cell's DNA	2x76D	Paired 76 nt directed reads	3,4		longPolyA	Poly(A)+ RNA longer than 200 nt	HUVEC	Nist14	RNA-Seq	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	RnaSeq	Sequencing analysis of RNA expression
152	PRJNA30709	SAMN00634076	SRX082571	Illumina Genome Analyzer II	PAIRED	GSM758565: CshlLong_RnaSeq_HUVEC_nucleus_longPolyA	2014-05-30	5463	3509	2011-07-13	SRR307910	SRS214597	SRP007461	GSM758565	Lonza	029N,030N,030N,029N	LID8690,LID8691,LID8691,LID8690	iIDR	Large membrane bound part of cell containing chromosomes and the bulk of the cell's DNA	2x76D	Paired 76 nt directed reads	3,4		longPolyA	Poly(A)+ RNA longer than 200 nt	HUVEC	Nist14	RNA-Seq	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	RnaSeq	Sequencing analysis of RNA expression
152	PRJNA30709	SAMN00634077	SRX082572	Illumina Genome Analyzer II	PAIRED	GSM758566: CshlLong_RnaSeq_H1-hESC_cell_longPolyA	2014-05-30	6004	3787	2011-07-13	SRR307911	SRS214598	SRP007461	GSM758566	WiCell Research Institute	006WC,005WC,006WC,005WC	LID8461,LID8462,LID8462,LID8461	iIDR	Whole cell	2x76D	Paired 76 nt directed reads	1,2		longPolyA	Poly(A)+ RNA longer than 200 nt	H1-hESC	Nist14	RNA-Seq	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	RnaSeq	Sequencing analysis of RNA expression
