Sample_Name	Run	source_name	rnaextract	subcellular_fraction	LibraryLayout	readtype	sequencing_center
GSM758561	SRR307901,SRR307902	AG04450	longPolyA	cell	PAIRED	2x76D	CSHL
GSM758562	SRR307903,SRR307904	BJ	longPolyA	cell	PAIRED	2x76D	CSHL
GSM758571	SRR307920	HMEC	longPolyA	cell	PAIRED	2x76D	CSHL
GSM758578	SRR307932,SRR307933	HSMM	longPolyA	cell	PAIRED	2x76D	CSHL
GSM765389	SRR315303,SRR315304	NHLF	longNonPolyA	cell	PAIRED	2x76D	CSHL
GSM765391	SRR315307,SRR315308	HSMM	longNonPolyA	cell	PAIRED	2x76D	CSHL
GSM765394	SRR315313,SRR315314	NHLF	longPolyA	cell	PAIRED	2x76D	CSHL
GSM765395	SRR315315,SRR315316	SK-N-SH_RA	longPolyA	cell	PAIRED	2x76D	CSHL
GSM765396	SRR315317,SRR315318	AG04450	longNonPolyA	cell	PAIRED	2x76D	CSHL
GSM765397	SRR315319	HMEC	longNonPolyA	cell	PAIRED	2x76D	CSHL
GSM767845	SRR317044,SRR317045	SK-N-SH_RA	longNonPolyA	cell	PAIRED	2x76D	CSHL
GSM767855	SRR317064,SRR317065	BJ	longNonPolyA	cell	PAIRED	2x76D	CSHL
GSM958744	SRR521516,SRR521517,SRR521518,SRR521519	HSMM	longPolyA	cell	PAIRED	2x75	CALTECH
GSM958746	SRR521527,SRR521528,SRR521529,SRR521530	NHLF	longPolyA	cell	PAIRED	2x75	CALTECH
GSM958747	SRR521531,SRR521532,SRR521533	GM12891	longPolyA	cell	PAIRED	2x75	CALTECH
GSM958748	SRR521534,SRR521535,SRR521536,SRR521537	GM12892	longPolyA	cell	PAIRED	2x75	CALTECH
GSM958749	SRR521538,SRR521539,SRR521540,SRR521541,SRR521542,SRR521543	HCT-116	longPolyA	cell	PAIRED	2x75	CALTECH
GSM958750	SRR521544,SRR521545,SRR521546	LHCN-M2	longPolyA	cell	PAIRED	2x75	CALTECH
GSM958751	SRR521547,SRR521548,SRR521549	LHCN-M2	longPolyA	cell	PAIRED	2x75	CALTECH
GSM981255	SRR534317,SRR534318	HPC-PL	total	cell	PAIRED	2x101D	CSHL
GSM981257	SRR534325	CD34+_Mobilized	total	cell	PAIRED	2x101D	CSHL
GSM981258	SRR534326,SRR534327	HFDPC	total	cell	PAIRED	2x101D	CSHL
GSM981260	SRR534334,SRR534335	hMSC-AT	total	cell	PAIRED	2x101D	CSHL
GSM984604	SRR545685,SRR545686	HPIEpC	total	cell	PAIRED	2x101D	CSHL
GSM984606	SRR545689,SRR545690	hMNC-PB	total	cell	PAIRED	2x101D	CSHL
GSM984607	SRR545691,SRR545692	hMSC-UC	total	cell	PAIRED	2x101D	CSHL
GSM984608	SRR545693,SRR545694	hMSC-BM	total	cell	PAIRED	2x101D	CSHL
GSM984610	SRR545701,SRR545702	HOB	total	cell	PAIRED	2x101D	CSHL
GSM984611	SRR545703,SRR545704	HCH	total	cell	PAIRED	2x101D	CSHL
GSM984612	SRR545705,SRR545706	NHDF	total	cell	PAIRED	2x101D	CSHL
GSM984613	SRR545707,SRR545708	HSaVEC	total	cell	PAIRED	2x101D	CSHL
GSM984614	SRR545709,SRR545710	HAoAF	total	cell	PAIRED	2x101D	CSHL
GSM984615	SRR545711,SRR545712	SkMC	total	cell	PAIRED	2x101D	CSHL
GSM984616	SRR545713,SRR545714	NHEM.f_M2	total	cell	PAIRED	2x101D	CSHL
GSM984617	SRR545715,SRR545716	NHEM_M2	total	cell	PAIRED	2x101D	CSHL
GSM984618	SRR545717,SRR545718	HAoEC	total	cell	PAIRED	2x101D	CSHL
GSM984619	SRR545719,SRR545720	HVMF	total	cell	PAIRED	2x101D	CSHL
GSM984620	SRR545721,SRR545722	HWP	total	cell	PAIRED	2x101D	CSHL
GSM984621	SRR545723	HMEpC	total	cell	PAIRED	2x101D	CSHL
